5,На материнке эсть разъем для видеокарты?,

0,А диск от Windows в комплект прилагается? Или тут будет предустановленная система с разделом восстановления?,

5,Хорошее решение для дома, особенно ребенку для учебы. Для всех офисных задач с большим запасом. Лицензионный Windows 10 обходится на порядок дороже, если покупать не в составе ПК + нет проблем с установкой, включил и работаешь! Поэтому тут выбор очевиден. Рекомендую.,Переваги: Лицензионный Windows 10, процессор, цена,

