0,Потянет игру метро Exodus?,

5,Парни скажите пожалуйста скока будет фпс на игре PUBG,Переваги: Не покупал,Недоліки: Не покупал,

0,Какой фирмы видео карта?,

0,Есть ли возможность ,до того как мне его доставят, заменит некоторые комплектующие ПК? Вроде оперативной памяти или видеокарты. Если ДА то сколько это займет?,

5,А к ПК можна купить дисковод или што то штоб диски вело?скажите пожалуйста,

5,Скажите скок фпс будет на гта5 на макс?пж скажите,Переваги: Не покупал,Недоліки: Не покупал,

0,Чи можливо потім добавити планку пам'яті ще на 8 гіг?,

4,Можно ли заменить процессор FX на i7?,

0,А какой стоит виндовс ставить?7? или лучше будет 10?,

0,Потяне комп ведьмак 3 на ультрах,

0,Потянет игру метро Exodus?,

5,Парни скажите пожалуйста скока будет фпс на игре PUBG,Переваги: Не покупал,Недоліки: Не покупал,

0,Какой фирмы видео карта?,

0,Есть ли возможность ,до того как мне его доставят, заменит некоторые комплектующие ПК? Вроде оперативной памяти или видеокарты. Если ДА то сколько это займет?,

5,А к ПК можна купить дисковод или што то штоб диски вело?скажите пожалуйста,

5,Скажите скок фпс будет на гта5 на макс?пж скажите,Переваги: Не покупал,Недоліки: Не покупал,

0,Чи можливо потім добавити планку пам'яті ще на 8 гіг?,

4,Можно ли заменить процессор FX на i7?,

0,А какой стоит виндовс ставить?7? или лучше будет 10?,

0,Потяне комп ведьмак 3 на ультрах,

0,Сколько ФПС будет в WOT,Star conflict,War Thunder?,

0,Какая стоит материнка и оперативка?,

5,Отличный компьютер, очень хорошо подходит как для игр, так и для работы, идеален если любите послушать музыку, играть и при этом что-то скачивать, перегревания нету, все таки 2 винта и 3 с верху, по этому там прохладно внутри, что говорить ещё отличная сборка, очень хорошо что нету од ибо он мешает чаще и при этом за него надо ещё платить, очень хороший комп))),Переваги: Можно разогнать процессор, отличная видеокарта,Недоліки: Не обнаружил,

0,Комплект поставки: Диски с драйверами Оптический привод: Нет Что происходит? :D Или я настолько отстал от жизни?,

0,В чем подвох? Стоит дешевле и позаряженнее многих игровых бюджетников.,

0,Здравствуйте,подскажите,подойдёт ли этот пк для стриминга игр?,

0,Данная сборка какой фпс будет показывать в ксго при съемке через shadowplay?,Переваги: Корпус,подсветка.,Недоліки: не наблюдаю,

0,а можно узнать точную информацию о видеокарте?,

0,А к нему можно будет добавить оперативки? То есть еще 8,

0,А потянет майнкрафт на ультра шейдерах снимать в 60фпс? И вообще топовые игры сьемку потянет?,

4,А сколько слотов оперативки и какая там стоит?,

0,А где взять промокод ?,Переваги: А где взять промокод ?,

5,Потянет ли он CS:GO на максималках в 60 фпс а на минималках 100 фпс и гта 5 на максималеах в 40 а на минималках в 60 фпс ?,

0,Подсветка корпуса, есть?,

5,Чем отличается i3 от FX-8300? И что лучше?,

0,Стоит ли брать такой для игр Cs GO и PoE? И сколько будет фпс? Точную инфу скажите пожалуйста.,

0,Сколько ФПС будет на масиуме в кс.,ведьмаке 3,гетеа 5,и в плероном бателграунт грауне.,

0,Потянет ли Grand Theft Auto 5 на ультрах если да то сколько фпс,Переваги: Много,Недоліки: Не Нашел,

0,Здесь есть дисковод DVD-RW?,

0,какая материнская плата,

0,Подскажите пожалуйста, материнская карта в этом компьютере поддерживает DDR3, а именно 1600 МГц память?,

5,Можно ли при отправке заменить FX на Ryzen 1300x? И сколько будет это стоить?,Переваги: Все.,Недоліки: Почти нет.,

0,Сколько планок оперативной память и какой производитель скажите пожалуйста!,

